stamp,lat,lon,alt
1756981204.8312535,37.5414733,127.0774696,40.748
1756981204.953916,37.5414733,127.0774696,40.749
1756981205.0796542,37.5414733,127.0774697,40.75
1756981205.202835,37.5414732,127.07746979999999,40.75
1756981205.3276753,37.5414732,127.07746999999999,40.751
1756981205.4641254,37.5414732,127.0774704,40.75
1756981205.5791707,37.5414733,127.0774709,40.754
1756981205.710389,37.5414734,127.0774716,40.758
1756981205.8298118,37.541473499999995,127.07747239999999,40.754
1756981205.9542232,37.541473499999995,127.0774733,40.757
1756981206.0797966,37.541473599999996,127.07747429999999,40.755
1756981206.1991603,37.541473599999996,127.0774754,40.757
1756981206.3276622,37.541473499999995,127.07747649999999,40.764
1756981206.464985,37.5414734,127.0774778,40.779
1756981206.5902295,37.5414734,127.0774792,40.795
1756981206.7334013,37.5414734,127.0774805,40.809
1756981206.9664347,37.541473599999996,127.0774835,40.808
1756981207.0776877,37.541473599999996,127.077485,40.812
1756981207.2103956,37.5414737,127.0774866,40.835
1756981207.3351583,37.5414737,127.0774883,40.861000000000004
1756981207.469788,37.541473599999996,127.07748989999999,40.902
1756981207.723289,37.541473599999996,127.0774934,40.952
1756981207.955422,37.5414739,127.0774967,40.973
1756981208.0875962,37.541474099999995,127.0774984,40.969
1756981208.2124858,37.541474099999995,127.0775001,40.972
1756981208.3371325,37.541474199999996,127.07750189999999,40.97
1756981208.4837701,37.541474199999996,127.0775037,40.972
1756981208.720874,37.5414744,127.0775072,41.004
1756981208.963229,37.541474699999995,127.07751069999999,41.015
1756981209.0887303,37.541474799999996,127.0775122,41.006
1756981209.21049,37.5414749,127.0775137,40.99
1756981209.3353946,37.5414749,127.07751529999999,40.983000000000004
1756981209.4700632,37.541475,127.07751689999999,40.987
1756981209.7203913,37.5414752,127.07751999999999,40.983000000000004
1756981209.9628005,37.5414756,127.0775228,40.967
1756981210.0874996,37.5414757,127.07752409999999,40.964
1756981210.211868,37.5414759,127.0775254,40.965
1756981210.3356326,37.5414762,127.07752669999999,40.967
1756981210.4699128,37.541476599999996,127.07752789999999,40.967
1756981210.718426,37.541477799999996,127.07753009999999,40.949
1756981210.961234,37.5414791,127.0775321,40.933
1756981211.0854418,37.5414799,127.0775331,40.923
1756981211.2112718,37.5414807,127.077534,40.923
1756981211.3362553,37.5414816,127.07753489999999,40.929
1756981211.4715626,37.541482599999995,127.0775357,40.934
1756981211.7211282,37.541485,127.07753729999999,40.899
1756981211.9629834,37.5414872,127.0775389,40.884
1756981212.0862691,37.541488199999996,127.07753989999999,40.878
1756981212.2110708,37.541489299999995,127.0775408,40.87
1756981212.3364425,37.5414903,127.07754159999999,40.893
1756981212.463956,37.5414914,127.0775422,40.905
1756981212.5869756,37.5414926,127.0775427,40.899
1756981212.735844,37.5414939,127.0775432,40.88
1756981212.9647758,37.541496099999996,127.07754449999999,40.873
1756981213.086124,37.5414971,127.0775453,40.865
1756981213.2090104,37.541498,127.07754609999999,40.875
1756981213.3283186,37.5414989,127.077547,40.879
1756981213.4705882,37.5414998,127.0775481,40.884
1756981213.7337055,37.5415019,127.0775506,40.881
1756981213.963008,37.5415036,127.0775535,40.884
1756981214.0879424,37.5415042,127.0775551,40.879
1756981214.2096233,37.5415048,127.0775565,40.9
1756981214.3354778,37.5415054,127.07755789999999,40.917
1756981214.477734,37.541506,127.07755949999999,40.906
1756981214.718674,37.541506999999996,127.07756269999999,40.9
1756981214.9639509,37.541507599999996,127.0775661,40.879
1756981215.085875,37.5415079,127.07756789999999,40.874
1756981215.205017,37.541508,127.07756959999999,40.891
1756981215.336912,37.5415081,127.07757129999999,40.894
1756981215.474268,37.5415081,127.077573,40.88
1756981215.7156866,37.5415081,127.07757629999999,40.89
1756981215.839841,37.541508,127.07757799999999,40.883
1756981215.9636781,37.5415079,127.0775797,40.88
1756981216.0850184,37.5415078,127.0775814,40.879
1756981216.211595,37.5415077,127.0775831,40.887
1756981216.3352914,37.541507599999996,127.07758489999999,40.885
1756981216.4829242,37.5415075,127.07758659999999,40.884
1756981216.733892,37.5415073,127.07759,40.886
1756981216.9529614,37.541506999999996,127.07759329999999,40.863
1756981217.0858376,37.5415068,127.07759499999999,40.871
1756981217.2119958,37.5415066,127.0775967,40.874
1756981217.3370502,37.5415065,127.0775984,40.865
1756981217.4816887,37.5415065,127.07759999999999,40.866
1756981217.718775,37.5415062,127.0776032,40.872
1756981217.962492,37.5415059,127.0776066,40.884
1756981218.0849876,37.5415059,127.0776082,40.902
1756981218.2096457,37.541505799999996,127.07760999999999,40.908
1756981218.3344305,37.541505799999996,127.07761169999999,40.911
1756981218.4695728,37.541505699999995,127.07761339999999,40.914
1756981218.724555,37.5415055,127.0776168,40.939
1756981218.9659348,37.541505099999995,127.0776205,40.946
1756981219.0889852,37.5415049,127.07762229999999,40.958
1756981219.2109144,37.5415047,127.0776241,40.941
1756981219.3356128,37.541504499999995,127.0776259,40.92
1756981219.4820497,37.5415043,127.0776277,40.919000000000004
1756981219.72279,37.5415037,127.07763109999999,40.919000000000004
1756981219.966479,37.5415032,127.0776346,40.918
1756981220.0891109,37.5415029,127.0776363,40.924
1756981220.2141242,37.541502699999995,127.077638,40.913000000000004
1756981220.3367026,37.5415025,127.0776396,40.908
1756981220.483388,37.5415023,127.07764119999999,40.902
1756981220.7318163,37.5415018,127.0776444,40.863
1756981220.9641626,37.5415014,127.07764759999999,40.846000000000004
1756981221.0892456,37.5415012,127.07764909999999,40.845
1756981221.2124999,37.541501,127.07765069999999,40.834
1756981221.3372939,37.541500899999996,127.0776523,40.827
1756981221.4648552,37.5415007,127.07765389999999,40.831
1756981221.5877936,37.5415004,127.07765549999999,40.832
1756981221.7369728,37.5415002,127.0776571,40.82
1756981221.961673,37.541499699999996,127.07766009999999,40.822
1756981222.0832098,37.5414994,127.0776618,40.82
1756981222.209966,37.5414992,127.0776635,40.806
1756981222.329265,37.541499,127.0776652,40.809
1756981222.4812803,37.5414988,127.07766679999999,40.826
1756981222.7277052,37.5414983,127.0776697,40.816
1756981222.9678447,37.5414977,127.07767279999999,40.867
1756981223.0916367,37.541497199999995,127.07767469999999,40.872
1756981223.2104514,37.5414969,127.0776765,40.868
1756981223.3362002,37.541496599999995,127.0776781,40.865
1756981223.485779,37.5414962,127.07767969999999,40.86
1756981223.7199512,37.541495499999996,127.07768279999999,40.834
1756981223.9815893,37.541494799999995,127.0776861,40.846000000000004
1756981224.2109482,37.541494199999995,127.0776894,40.834
1756981224.3394883,37.5414937,127.0776913,40.831
1756981224.4842365,37.5414932,127.0776932,40.835
1756981224.7391965,37.541492399999996,127.07769689999999,40.811
1756981224.965341,37.5414916,127.0777004,40.815
1756981225.0797539,37.541491199999996,127.07770239999999,40.800000000000004
1756981225.2126207,37.5414908,127.0777043,40.798
1756981225.3378692,37.5414904,127.07770629999999,40.797000000000004
1756981225.48181,37.541489999999996,127.0777081,40.803000000000004
1756981225.732494,37.541489,127.07771199999999,40.776
1756981225.956103,37.541488199999996,127.07771559999999,40.785000000000004
1756981226.087715,37.5414878,127.0777174,40.783
1756981226.2121322,37.541487499999995,127.07771919999999,40.79
1756981226.337585,37.5414871,127.077721,40.808
1756981226.482351,37.5414866,127.0777227,40.813
1756981226.7174833,37.5414859,127.0777263,40.839
1756981226.9616494,37.5414855,127.07772969999999,40.849000000000004
1756981227.0920343,37.5414853,127.0777315,40.848
1756981227.3364782,37.541485,127.07773499999999,40.857
1756981227.480973,37.5414847,127.0777368,40.848
1756981227.716409,37.5414843,127.0777402,40.872
1756981227.8354466,37.5414841,127.077742,40.878
1756981227.9616303,37.541483899999996,127.0777438,40.874
1756981228.0854304,37.5414838,127.07774549999999,40.887
1756981228.2085614,37.5414837,127.07774719999999,40.898
1756981228.3357332,37.5414835,127.077749,40.905
1756981228.4832313,37.5414832,127.07775079999999,40.909
1756981228.7161224,37.5414829,127.0777542,40.954
1756981228.9648876,37.541482599999995,127.0777579,40.954
1756981229.088114,37.5414824,127.0777598,40.951
1756981229.212845,37.5414823,127.0777615,40.966
1756981229.3374498,37.541481999999995,127.0777633,40.961
1756981229.4821699,37.5414818,127.07776519999999,40.947
1756981229.719448,37.541481499999996,127.0777686,40.957
1756981229.96647,37.541481399999995,127.07777229999999,40.936
1756981230.2135422,37.5414811,127.0777758,40.939
1756981230.3371375,37.541480899999996,127.0777777,40.933
1756981230.465627,37.5414807,127.07777949999999,40.927
1756981230.5919185,37.5414805,127.07778139999999,40.929
1756981230.8568664,37.541480199999995,127.0777849,40.916000000000004
1756981231.094694,37.5414801,127.07778839999999,40.896
1756981231.3333728,37.5414797,127.0777919,40.878
1756981231.483327,37.5414794,127.0777937,40.882
1756981231.7341614,37.5414791,127.0777971,40.877
1756981231.9669461,37.5414788,127.0778004,40.873
1756981232.2126083,37.5414785,127.07780389999999,40.861000000000004
1756981232.335199,37.5414783,127.0778057,40.836
1756981232.4819922,37.5414781,127.0778074,40.839
1756981232.7209253,37.5414779,127.07781059999999,40.834
1756981232.9674768,37.541477799999996,127.07781399999999,40.83
1756981233.2077165,37.5414774,127.07781759999999,40.809
1756981233.3360083,37.5414771,127.0778196,40.805
1756981233.4762356,37.5414767,127.07782139999999,40.825
1756981233.7232862,37.5414761,127.0778247,40.815
1756981233.967013,37.541475399999996,127.077828,40.81
1756981234.2160769,37.5414745,127.07783119999999,40.815
1756981234.4879727,37.541473499999995,127.07783409999999,40.835
1756981234.7327068,37.5414726,127.07783699999999,40.834
1756981234.9559717,37.5414715,127.0778399,40.83
1756981235.0910895,37.5414707,127.07784149999999,40.829
1756981235.3419254,37.5414692,127.07784439999999,40.837
1756981235.6066809,37.5414678,127.07784699999999,40.827
1756981235.8357596,37.541466199999995,127.0778495,40.800000000000004
1756981235.969271,37.5414653,127.0778507,40.788000000000004
1756981236.2337644,37.5414635,127.07785299999999,40.768
1756981236.4896443,37.5414617,127.0778553,40.768
1756981236.7166862,37.54146,127.0778575,40.748
1756981236.9818556,37.541458,127.07785969999999,40.75
1756981237.234083,37.541455899999995,127.0778617,40.756
1756981237.4872687,37.5414537,127.0778636,40.77
1756981237.7161705,37.5414515,127.07786549999999,40.779
1756981237.9673755,37.5414493,127.077867,40.77
1756981238.2164803,37.541446799999996,127.0778684,40.768
1756981238.484487,37.541444299999995,127.0778699,40.765
1756981238.7318368,37.541441899999995,127.0778716,40.748
1756981238.970878,37.5414394,127.07787339999999,40.719
1756981239.216214,37.5414367,127.0778752,40.719
1756981239.480698,37.5414342,127.0778771,40.717
1756981239.7342253,37.5414318,127.07787909999999,40.715
1756981239.972268,37.5414294,127.0778809,40.689
1756981240.2175627,37.5414269,127.0778826,40.683
1756981240.491468,37.541424299999996,127.07788439999999,40.687
1756981240.7348514,37.5414217,127.07788649999999,40.686
1756981240.9850495,37.5414191,127.07788839999999,40.674
1756981241.2174072,37.5414163,127.07789029999999,40.681
1756981241.493265,37.5414138,127.0778922,40.681
1756981241.736959,37.5414114,127.077894,40.677
1756981241.9816108,37.541409,127.07789589999999,40.671
1756981242.213406,37.5414065,127.07789779999999,40.687
1756981242.344935,37.541405399999995,127.07789869999999,40.688
1756981242.6150959,37.5414031,127.0779007,40.68
1756981242.8661783,37.5414008,127.0779025,40.69
1756981243.0920026,37.5413983,127.0779044,40.69
1756981243.3587344,37.541396,127.07790639999999,40.707
1756981243.613135,37.5413937,127.07790849999999,40.711
1756981243.8586833,37.5413913,127.07791049999999,40.725
1756981244.1056342,37.5413888,127.0779127,40.725
1756981244.347948,37.5413864,127.0779146,40.742
1756981244.6111655,37.541384,127.0779166,40.74
1756981244.843618,37.541381799999996,127.07791879999999,40.748
1756981245.1053116,37.5413794,127.07792119999999,40.747
1756981245.3447337,37.5413773,127.0779235,40.741
1756981245.61212,37.541375099999996,127.0779259,40.733000000000004
1756981245.8570344,37.541373,127.0779283,40.718
1756981246.0928113,37.5413709,127.0779309,40.732
1756981246.341611,37.5413688,127.0779336,40.730000000000004
1756981246.6064992,37.5413667,127.0779364,40.746
1756981246.8582475,37.5413645,127.07793919999999,40.730000000000004
1756981247.0945747,37.5413624,127.0779419,40.748
1756981247.3546755,37.5413606,127.0779445,40.733000000000004
1756981247.5940998,37.5413588,127.07794729999999,40.744
1756981247.841498,37.5413569,127.0779503,40.736000000000004
1756981248.1114545,37.5413551,127.07795329999999,40.751
1756981248.34327,37.541353099999995,127.07795619999999,40.765
1756981248.6104085,37.5413511,127.0779592,40.793
1756981248.8603368,37.541349,127.0779625,40.79
1756981249.0938697,37.5413472,127.0779656,40.784
1756981249.336966,37.5413454,127.07796859999999,40.765
1756981249.4870453,37.5413444,127.07797,40.772
1756981249.7349699,37.5413425,127.0779731,40.743
1756981249.9672117,37.5413408,127.0779761,40.774
1756981250.21512,37.541339,127.07797889999999,40.749
1756981250.4921904,37.541337399999996,127.0779814,40.715
1756981250.7334058,37.5413353,127.0779838,40.671
1756981250.96784,37.5413334,127.07798589999999,40.699
1756981251.2098472,37.5413318,127.07798779999999,40.682
1756981251.340979,37.5413309,127.07798849999999,40.67
1756981251.6098273,37.5413293,127.07798989999999,40.635
1756981251.8581212,37.541328,127.077991,40.6
1756981252.080289,37.5413268,127.0779919,40.58
1756981252.2142303,37.5413263,127.07799229999999,40.562
